Fantasy Index Cheat Sheet,,,,,,,,,,,,,,
Rankings calculated for Ohio Outcasts,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Projections updated through Sep 04, 2025,  2 p.m. EDT",,,,,,,,,,,,,,
ALL POSITIONS,,,,,,,,,,,,,,
Rank,Pos,Team,Name,Bye,Points,,,,,,,,,
308,RB,MIA,Jeff Wilson,12,18.63,,,,,,,,,
309,WR,MIN,Jalen Nailor,6,42.29,,,,,,,,,
310,WR,DEN,Pat Bryant,12,41.96,,,,,,,,,
311,WR,WAS,Jaylin Lane,12,40.99,,,,,,,,,
312,RB,HOU,Dameon Pierce,6,16.62,,,,,,,,,
313,RB,TEN,Julius Chestnut,10,16.07,,,,,,,,,
314,WR,PIT,Scotty Miller,5,38.57,,,,,,,,,
315,WR,SF,Jordan Watkins,14,36.66,,,,,,,,,
316,WR,NYJ,Allen Lazard,9,35.09,,,,,,,,,
317,WR,LAR,Jordan Whittington,8,33.6,,,,,,,,,
318,WR,MIA,N. Westbrook-Ikhine,12,32.78,,,,,,,,,
319,QB,NYG,Russell Wilson,14,108.6,,,,,,,,,
320,QB,CLE,Dillon Gabriel,9,90.16,,,,,,,,,
321,QB,NO,Tyler Shough,11,74.97,,,,,,,,,
322,QB,IND,Anthony Richardson,11,73.39,,,,,,,,,
323,QB,MIA,Zach Wilson,12,56.28,,,,,,,,,
324,QB,LAR,Jimmy Garoppolo,8,48.49,,,,,,,,,
325,QB,ATL,Kirk Cousins,5,45.77,,,,,,,,,
326,QB,SEA,Jalen Milroe,8,37.48,,,,,,,,,
327,QB,GB,Malik Willis,5,29.33,,,,,,,,,
328,QB,WAS,Marcus Mariota,12,26.64,,,,,,,,,
329,QB,CHI,Tyson Bagent,5,24.55,,,,,,,,,
330,QB,NYJ,Tyrod Taylor,9,24.08,,,,,,,,,
331,QB,CIN,Jake Browning,10,22.57,,,,,,,,,
332,QB,MIN,Carson Wentz,6,22.09,,,,,,,,,
333,QB,SF,Mac Jones,14,19.02,,,,,,,,,
334,QB,ARI,Jacoby Brissett,8,17.74,,,,,,,,,
335,QB,SEA,Drew Lock,8,17.29,,,,,,,,,
336,QB,JAC,Nick Mullens,8,16.68,,,,,,,,,
337,ST,LAC,LA Chargers,12,149.79,,,,,,,,,
338,ST,SEA,Seattle,8,142.61,,,,,,,,,
339,ST,KC,Kansas City,10,137.59,,,,,,,,,
340,ST,DET,Detroit,8,137.49,,,,,,,,,
341,ST,NYJ,NY Jets,9,132.84,,,,,,,,,
342,ST,TB,Tampa Bay,9,131.34,,,,,,,,,
343,ST,CHI,Chicago,5,131.27,,,,,,,,,
344,ST,SF,San Francisco,14,129.97,,,,,,,,,
345,ST,WAS,Washington,12,128.59,,,,,,,,,
346,ST,LAR,LA Rams,8,128.36,,,,,,,,,
347,ST,NYG,NY Giants,14,126.83,,,,,,,,,
348,ST,MIA,Miami,12,125.4,,,,,,,,,
349,ST,ARI,Arizona,8,122.74,,,,,,,,,
350,ST,ATL,Atlanta,5,120.7,,,,,,,,,
351,ST,IND,Indianapolis,11,119.27,,,,,,,,,
352,ST,DAL,Dallas,10,115.91,,,,,,,,,
353,ST,NE,New England,14,115.59,,,,,,,,,
354,ST,CLE,Cleveland,9,115.3,,,,,,,,,
355,ST,JAC,Jacksonville,8,110.97,,,,,,,,,
356,ST,NO,New Orleans,11,109.97,,,,,,,,,
357,ST,TEN,Tennessee,10,103.72,,,,,,,,,
358,ST,LV,Las Vegas,8,102.16,,,,,,,,,
359,ST,CAR,Carolina,14,98.27,,,,,,,,,
360,ST,CIN,Cincinnati,10,97,,,,,,,,,
361,K,HOU,Ka'imi Fairbairn,6,144.26,,,,,,,,,
362,K,DEN,Wil Lutz,12,141.79,,,,,,,,,
363,K,GB,Brandon McManus,5,139.34,,,,,,,,,
364,K,MIN,Will Reichard,6,135.55,,,,,,,,,
365,K,PIT,Chris Boswell,5,133.77,,,,,,,,,
366,K,SF,Jake Moody,14,133.35,,,,,,,,,
367,K,ARI,Chad Ryland,8,132.88,,,,,,,,,
368,K,LV,Daniel Carlson,8,132.76,,,,,,,,,
369,K,BAL,Tyler Loop,7,132.46,,,,,,,,,
370,K,SEA,Jason Myers,8,131.99,,,,,,,,,
371,K,LAR,Joshua Karty,8,131.03,,,,,,,,,
372,K,JAC,Cam Little,8,130.13,,,,,,,,,
373,K,CIN,Evan McPherson,10,128.34,,,,,,,,,
374,K,ATL,Younghoe Koo,5,125.63,,,,,,,,,
375,K,CHI,Cairo Santos,5,124.55,,,,,,,,,
376,K,IND,Spencer Shrader,11,122.85,,,,,,,,,
377,K,NYJ,Nick Folk,9,117.72,,,,,,,,,
378,K,TEN,Joey Slye,10,114.15,,,,,,,,,
379,K,NYG,Graham Gano,14,111.28,,,,,,,,,
380,K,CAR,Ryan Fitzgerald,14,109.11,,,,,,,,,
381,K,NE,Andres Borregales,14,106.23,,,,,,,,,
382,K,NO,Blake Grupe,11,103.45,,,,,,,,,
383,K,CLE,Andre Szmyt,9,100.72,,,,,,,,,
384,K,MIA,Jason Sanders,12,90.65,,,,,,,,,
385,K,MIA,Riley Patterson,12,37.51,,,,,,,,,
386,K,BUF,Matt Prater,0,33.25,,,,,,,,,
387,K,UFA,Justin Tucker,0,30.62,,,,,,,,,
388,K,UFA,Parker Romo,0,21.4,,,,,,,,,
389,K,UFA,Eddy Pineiro,0,15.44,,,,,,,,,
390,K,UFA,Zane Gonzalez,0,9.62,,,,,,,,,
391,K,UFA,Matthew Wright,0,8.93,,,,,,,,,
392,K,UFA,Greg Joseph,0,8.56,,,,,,,,,
