Fantasy Index Cheat Sheet,,,,,,,,,,,,,,
Rankings calculated for Ohio Outcasts,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Projections updated through Sep 07, 2026,  8 p.m. EDT",,,,,,,,,,,,,,
ALL POSITIONS,,,,,,,,,,,,,,
Rank,Pos,Team,Name,Bye,Points,,,,,,,,,
198,WR,TEN,Calvin Ridley,9,91.51,,,,,,,,,
199,TE,LAC,Charlie Kolar,7,90.65,,,,,,,,,
200,RB,SEA,George Holani,11,108.96,,,,,,,,,
201,WR,PHI,Makai Lemon,10,89.52,,,,,,,,,
202,TE,LAR,Terrance Ferguson,11,88.75,,,,,,,,,
203,RB,PHI,Tank Bigsby,10,88.32,,,,,,,,,
204,WR,TB,Jalen McMillan,10,87.75,,,,,,,,,
205,WR,ATL,Jahan Dotson,11,87.3,,,,,,,,,
206,WR,LV,Jack Bech,13,87.1,,,,,,,,,
207,RB,CIN,Samaje Perine,6,87.09,,,,,,,,,
208,RB,IND,Seth McGowan,13,86.98,,,,,,,,,
209,RB,LAC,Keaton Mitchell,7,85.58,,,,,,,,,
210,WR,SEA,Cooper Kupp,11,85.49,,,,,,,,,
211,TE,DEN,Evan Engram,10,84.25,,,,,,,,,
212,TE,NYJ,Mason Taylor,13,83.98,,,,,,,,,
213,WR,NE,DeMario Douglas,11,94.24,,,,,,,,,
214,WR,IND,Keenan Allen,13,82.11,,,,,,,,,
215,WR,NYG,Malachi Fields,8,122.3,,,,,,,,,
216,WR,NE,Kyle Williams,11,78.44,,,,,,,,,
217,RB,BAL,Justice Hill,13,79.58,,,,,,,,,
218,WR,DAL,Ryan Flournoy,14,79.19,,,,,,,,,
219,TE,NYJ,Kenyon Sadiq,13,78.13,,,,,,,,,
220,RB,CLE,Dylan Sampson,11,76.77,,,,,,,,,
221,WR,NYJ,Adonai Mitchell,13,76.56,,,,,,,,,
222,WR,KC,Tyquan Thornton,5,72.28,,,,,,,,,
223,WR,LV,Tre Tucker,13,73.02,,,,,,,,,
